Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-02,33.681740460564846,34.01660506785797,33.52361192286923,33.98870086669922,7365500,0.0,0
2018-07-03,33.84917068481445,34.05381094299939,33.81196271999049,33.84917068481445,6512600,0.0,0
2018-07-05,33.858484721150944,34.04451750501005,33.70965636505492,34.03521728515625,9230900,0.0,0
2018-07-06,34.24915145623087,34.74214462880572,34.1933395024433,34.66773223876953,7251600,0.0,0
2018-07-09,35.22583738572373,35.37466571330877,34.94678471504519,35.18863296508789,7124100,0.0,0
2018-07-10,34.85376576191331,35.300250711630554,34.85376576191331,35.281646728515625,7211500,0.0,0
2018-07-11,34.72354798166386,34.7421484199422,34.32357114007474,34.3886833190918,7316200,0.0,0
2018-07-12,34.72354096406728,34.965385644632946,34.602616849610996,34.70493698120117,5275300,0.0,0
2018-07-13,34.91888342710275,35.1607281489846,34.86307146896962,35.1328239440918,4947500,0.0,0
2018-07-16,35.235136738814255,35.244436955721525,35.021196266479286,35.15142059326172,5399200,0.0,0
2018-07-17,34.88167143303251,35.458380740521456,34.742143327961536,35.383968353271484,6238500,0.0,0
2018-07-18,35.3839730926045,35.78394992914398,35.23514474982336,35.7281379699707,10532200,0.0,0
2018-07-19,36.68621568045216,37.56988540913691,35.92347007422249,37.0303840637207,17762300,0.0,0
2018-07-20,37.1978168664228,37.997766903126205,37.05828875801734,37.886146545410156,14481000,0.0,0
2018-07-23,37.96986298161969,38.118691309124266,37.79313045156652,37.895450592041016,6832800,0.0,0
2018-07-24,38.230306837294556,38.33262696484098,37.560581222316934,37.569881439208984,7018300,0.0,0
2018-07-25,37.70011231935532,38.04428072608466,37.49547557703634,38.034976959228516,7725700,0.0,0
2018-07-26,37.858243530384854,38.08148425281827,37.616395274676805,37.96986389160156,8476600,0.0,0
2018-07-27,38.081484932303525,38.99305891992427,38.081484932303525,38.555877685546875,9468500,0.0,0
2018-07-30,38.55587674528456,38.62098891793048,38.034975815769904,38.221012115478516,5174300,0.0,0
2018-07-31,38.37913834249805,38.67679853303665,38.22100980373564,38.3326301574707,4908300,0.0,0
2018-08-01,38.54656959776952,38.81632203126953,38.43494924707355,38.7977180480957,6115000,0.0,0
2018-08-02,38.2303069064425,38.74190754509996,38.13729054396666,38.648887634277344,4669300,0.0,0
2018-08-03,38.732609396246694,39.02096583908963,38.65819700514525,38.779117584228516,4575200,0.0,0
2018-08-06,38.323328136274775,38.52796485043415,38.13729185657333,38.2024040222168,7245800,0.0,0
2018-08-07,38.20240639318417,38.36983870047218,37.98846590017107,38.360538482666016,7494900,0.0,0
2018-08-08,38.65819703562903,39.16979420052702,38.555876892979974,39.03956985473633,5089600,0.0,0
2018-08-09,39.011660323208815,39.02096408939637,38.769815627539266,38.918643951416016,4513300,0.0,0
2018-08-10,38.4163477463404,38.4163477463404,37.941958563967525,38.165199279785156,7053200,0.0,0
2018-08-13,37.84893828264638,38.1279944972891,37.644301553148125,37.8675422668457,6708600,0.0,0
2018-08-14,38.13728975222744,38.314022256601234,38.016365644841834,38.05357360839844,5339100,0.0,0
2018-08-15,37.625694274902344,37.71871063940843,37.318733885007916,37.625694274902344,6052800,0.0,0
2018-08-16,37.62569750080197,37.88614618242648,37.551281564139444,37.5884895324707,5544000,0.0,0
2018-08-17,37.38384948114749,37.41175723173835,37.01178044062555,37.328041076660156,7897200,0.0,0
2018-08-20,37.225720363845646,37.430360639405926,37.11410000824328,37.300132751464844,4156700,0.0,0
2018-08-21,37.55128398478361,38.17450507529148,37.54198376627486,38.034976959228516,6075100,0.0,0
2018-08-22,37.99776926793142,38.183805574601,37.70941636352361,38.044281005859375,5512700,0.0,0
2018-08-23,38.41634706843823,38.46285525438394,37.839637756347656,37.839637756347656,4126100,0.0,0
2018-08-24,38.07218205381508,38.51866702380074,37.9791656823649,38.360538482666016,4232000,0.0,0
2018-08-27,38.53727460497475,38.797723308024196,38.481462647886666,38.63029098510742,5733000,0.0,0
2018-08-28,39.4302438593383,39.77440871713431,39.30001951035319,39.393035888671875,10683500,0.0,0
2018-08-29,40.174382331758444,41.28129630668078,40.081365960846846,41.04875183105469,12278200,0.0,0
2018-08-30,41.25339111143803,41.383619006464855,40.379025106341814,40.425533294677734,7826200,0.0,0
2018-08-31,40.109266869789636,40.56505556587276,39.96043855954048,40.55575180053711,8782900,0.0,0
2018-09-04,40.23949795322022,41.03945158573769,40.1743857783267,41.0301513671875,8174900,0.0,0
2018-09-05,41.01154124939343,41.458026188336206,40.94642908423596,41.13246536254883,7262400,0.0,0
2018-09-06,40.87201838790095,40.99294251654266,40.5371573020696,40.97433853149414,10424900,0.0,0
2018-09-07,40.9278336302445,42.081255957460705,40.909229643701764,41.74639129638672,14256000,0.0,0
2018-09-10,41.85800426011585,41.91381620986758,41.41151930714292,41.50453567504883,6824900,0.0,0
2018-09-11,40.59296090382145,41.45802659026821,40.53715250362934,41.439422607421875,12509700,0.0,0
2018-09-12,40.853409109403046,41.20687768283069,40.76039274456008,40.872013092041016,10303700,0.0,0
2018-09-13,40.918529715284336,40.918529715284336,40.24880045362797,40.39762878417969,9624500,0.0,0
2018-09-14,40.94642769337114,41.44872456324987,40.88131553042539,41.30919647216797,5295400,0.0,0
2018-09-17,40.58366544888241,41.0580546479173,40.43483711699427,40.704586029052734,6210300,0.0,0
2018-09-18,40.4627351115812,41.01154016652273,40.323207019443934,40.51854705810547,8814200,0.0,0
2018-09-19,41.113866336829695,41.29059887094413,40.68598532896486,40.946434020996094,6393200,0.0,0
2018-09-20,41.16037250947845,41.32780481711359,40.834811660380744,41.08595657348633,4728000,0.0,0
2018-09-21,41.16037511477209,41.309203447829454,40.946434607773824,40.983642578125,6668600,0.0,0
2018-09-24,40.77899412237719,41.80218826367922,40.73248594292649,41.755680084228516,8229100,0.0,0
2018-09-25,41.67196965020932,41.774289788024916,41.0487521538374,41.08595657348633,6678200,0.0,0
2018-09-26,41.160370168671314,41.60685511419086,41.160370168671314,41.17897415161133,4564300,0.0,0
2018-09-27,41.485933486207756,42.071946564733615,41.46733305049963,41.634761810302734,6711700,0.0,0
2018-09-28,41.392916972716364,41.50453732831908,40.89992381615284,41.076656341552734,7727700,0.0,0
2018-10-01,41.43942790231969,41.82080072853205,41.318503772540936,41.541748046875,5029800,0.0,0
2018-10-02,40.69528784305275,40.918532126207545,40.41623515036989,40.574363708496094,5440300,0.0,0
2018-10-03,40.965037123335435,41.15107342006997,40.52785235826137,40.890621185302734,5631100,0.0,0
2018-10-04,40.06276248565816,40.07206625187571,39.03956819925106,39.46744918823242,7885000,0.0,0
2018-10-05,38.95585304779701,39.13258557866109,38.295424014889676,38.72330856323242,7921400,0.0,0
2018-10-08,37.91404612505202,38.29541888673427,37.57918509273207,38.10008239746094,7761800,0.0,0
2018-10-09,38.13729738502046,38.416350070851124,37.746624334527006,38.044281005859375,5678700,0.0,0
2018-10-10,37.532674953947456,37.6163911026619,36.60249710083008,36.60249710083008,12853500,0.0,0
2018-10-11,35.811849553193525,36.835043835374485,35.653721011619815,36.221126556396484,10209000,0.0,0
2018-10-12,37.337342690864254,37.74662326359488,36.45367292051542,36.8908576965332,7578600,0.0,0
2018-10-15,36.714120818521344,36.82574116681259,36.01648743209399,36.04439163208008,8209000,0.0,0
2018-10-16,37.058286868932065,37.26292713793573,36.64900987927175,37.21641540527344,10748100,0.0,0
2018-10-17,37.207117143502224,37.290833299008995,36.444371525928204,36.8071403503418,8173600,0.0,0
2018-10-18,37.02107880805944,37.16060690899773,35.774640310503536,35.849056243896484,9555600,0.0,0
2018-10-19,36.42576820207183,36.57459653141069,35.66302257066676,35.765342712402344,11266200,0.0,0
2018-10-22,36.453672154766295,36.49088012393245,35.84905862337884,36.0164909362793,8165700,0.0,0
2018-10-23,34.80725116062738,35.51418826733042,34.65842285632358,35.34675598144531,12350000,0.0,0
2018-10-24,34.93748575431625,34.93748575431625,33.886383656974154,33.932891845703125,13312400,0.0,0
2018-10-25,34.21193745514584,34.9281747682442,33.94218859693335,34.77934646606445,9927300,0.0,0
2018-10-26,33.99800259737261,34.68633582614774,33.616629788393034,34.109622955322266,11973200,0.0,0
2018-10-29,34.574711523554576,34.79795578524225,33.45850086015769,33.793365478515625,8269300,0.0,0
2018-10-30,34.26776184148358,35.160731978793436,34.10962971705593,35.142127990722656,12106400,0.0,0
2018-10-31,35.988586363415784,36.267642608458424,35.37466901134757,35.439781188964844,12610900,0.0,0
2018-11-01,36.07229970924255,36.35135593248495,35.70953087704417,36.323448181152344,14348600,0.0,0
2018-11-02,36.44436870454762,36.73272511749133,35.74673531211501,36.072296142578125,9736200,0.0,0
2018-11-05,36.01649533149059,36.10951171740983,35.6351224718654,35.793251037597656,8591900,0.0,0
2018-11-06,35.81185066794631,36.137411527406925,35.73743472958546,36.02579116821289,8578100,0.0,0
2018-11-07,36.546682755314244,36.555982971059855,36.01648174915611,36.44436264038086,6568700,0.0,0
2018-11-08,36.08159898991273,36.33274743059817,35.98857907761432,35.99788284301758,7953700,0.0,0
2018-11-09,35.43047684783104,35.70952951205946,35.170028167664135,35.41187286376953,5975400,0.0,0
2018-11-12,35.21653851702399,35.27234692428974,34.425885113401336,34.47239685058594,11666700,0.0,0
2018-11-13,34.77935056146582,35.458379991890894,34.639826007687724,34.78865432739258,15057100,0.0,0
2018-11-14,35.532797821306495,35.663022164451284,34.76074843216635,35.197933197021484,10404900,0.0,0
2018-11-15,35.41187121431298,35.87696014914593,35.24443891390536,35.83045196533203,10840400,0.0,0
2018-11-16,34.481694400873415,34.60261852117122,34.10032160456225,34.295658111572266,16382400,0.0,0
2018-11-19,34.081718321132534,34.11892628942675,33.44919705351939,33.53291320800781,15191700,0.0,0
2018-11-20,32.928298146277115,33.47710323365997,32.76086584515374,33.15153884887695,11673500,0.0,0
2018-11-21,33.87707955438419,34.15613578068635,33.61663086140597,33.644535064697266,7013100,0.0,0
2018-11-23,33.32827909259593,33.67244395543805,33.25386315017199,33.44919967651367,2320500,0.0,0
2018-11-26,34.146829481866895,34.31426178589333,33.92358877539636,34.26775360107422,7077300,0.0,0
2018-11-27,33.84917602984257,34.24915284399226,33.84917602984257,34.23054885864258,6870200,0.0,0
2018-11-28,34.667737857598084,35.36537142545017,34.48170152983463,35.3560676574707,8380200,0.0,0
2018-11-29,35.300250711630554,35.69092371200303,35.22583477917086,35.281646728515625,7056600,0.0,0
2018-11-30,34.639828388833976,34.97468946992801,34.49100005889864,34.965389251708984,8734400,0.0,0
2018-12-03,36.10950732469523,36.2769396376599,35.700230308752275,36.02579116821289,7457600,0.0,0
2018-12-04,35.83976096760887,36.07230549202542,34.81656647951514,34.82586669921875,13321200,0.0,0
2018-12-06,33.207351660156185,34.28635787963867,33.123635507422755,34.28635787963867,12075700,0.0,0
2018-12-07,34.091024534294114,34.3607734529208,33.61663177536071,33.97010040283203,10802700,0.0,0
2018-12-10,33.77476269599909,34.25845565657545,33.56082219295811,33.886383056640625,12439100,0.0,0
2018-12-11,34.63982822226419,34.74214481557056,33.765458683294774,34.13753128051758,8635800,0.0,0
2018-12-12,34.98399053481666,35.06770668571192,34.66772991458426,34.770050048828125,8405400,0.0,0
2018-12-13,34.872373406662426,35.03050195722248,34.59331717898438,34.72354507446289,5825900,0.0,0
2018-12-14,34.23054911635609,34.518905568926044,33.979400634765625,33.979400634765625,5969600,0.0,0
2018-12-17,34.072416641546994,34.36076951258916,33.59802393701471,33.691043853759766,10733100,0.0,0
2018-12-18,34.05381193717349,34.416580733930765,34.05381193717349,34.193336486816406,7100400,0.0,0
2018-12-19,34.06311289028693,34.677030147679204,33.579419968046494,33.70034408569336,11786400,0.0,0
2018-12-20,33.86777569187461,34.18403630575287,33.0585219483776,33.37478256225586,12540400,0.0,0
2018-12-21,34.0817176463067,34.35147008857791,33.16084351351475,33.216651916503906,16981000,0.0,0
2018-12-24,33.07712961575149,33.384086498160215,32.807377155089625,32.82598114013672,6288500,0.0,0
2018-12-26,32.86318541482204,34.202640252467425,32.86318541482204,34.193336486816406,10063400,0.0,0
2018-12-27,33.67244695749254,34.23055238204,33.449202658664895,34.21194839477539,8688600,0.0,0
2018-12-28,34.53750611780346,35.04910324864971,34.4351859819648,34.54680633544922,7369000,0.0,0
2018-12-31,34.81655960985179,34.96538793417913,34.20264232845815,34.33286666870117,4600600,0.0,0
2019-01-02,33.672443731807995,34.18404091335885,33.486407425331116,33.97010040283203,5273100,0.0,0
2019-01-03,32.87248268269983,33.0399149659263,31.87719274815727,31.960908889770508,15998000,0.0,0
2019-01-04,32.05392762538901,32.58412871215055,31.821383164586685,32.5283203125,14178200,0.0,0
2019-01-07,32.56552802277145,32.993412570662464,32.5283236020243,32.77016830444336,6850800,0.0,0
2019-01-08,32.658551729498775,32.72366390878458,32.221366912853256,32.50041961669922,11462600,0.0,0
2019-01-09,32.863189456368296,33.449199023961015,32.863189456368296,33.12363815307617,11770300,0.0,0
2019-01-10,32.984109035564565,33.93289096404281,32.92830062987878,33.877079010009766,7894600,0.0,0
2019-01-11,33.90498181227835,34.20263842697947,33.709645324195755,34.053810119628906,7232700,0.0,0
2019-01-14,33.60733294336722,33.663141353769646,33.225960096111244,33.26316452026367,6146200,0.0,0
2019-01-15,33.52361297607422,33.70034550287705,33.300368714749496,33.52361297607422,10165800,0.0,0
2019-01-16,33.393387083098276,33.51430765186194,33.15153884887695,33.15153884887695,8727400,0.0,0
